gene_name,gene_biotype,chromosome,strand,transcript_count
ALX4,protein_coding,chr11,-,1
FSTL4,protein_coding,chr5,-,7
FOXN3,protein_coding,chr14,-,19
METTL24,protein_coding,chr6,-,2
AKR7A2,protein_coding,chr1,-,5
MRTO4,protein_coding,chr1,+,3
NNAT,protein_coding,chr20,+,2
USE1,protein_coding,chr19,+,10
MCF2L2,protein_coding,chr3,-,13
NRIP2,protein_coding,chr12,-,3
LAMA3,protein_coding,chr18,+,14
AP5M1,protein_coding,chr14,+,9
ANAPC4,protein_coding,chr4,+,11
KCNQ1,protein_coding,chr11,+,6
TRAPPC3,protein_coding,chr1,-,10
THRAP3,protein_coding,chr1,+,4
PHPT1,protein_coding,chr9,+,6
ENTPD2,protein_coding,chr9,-,4
LY75,protein_coding,chr2,-,4
ARID4B,protein_coding,chr1,-,13
OPN3,protein_coding,chr1,-,7
SDCCAG8,protein_coding,chr1,+,11
PTPRN,protein_coding,chr2,-,19
HHAT,protein_coding,chr1,+,9
KIF1B,protein_coding,chr1,+,13
FOXC1,protein_coding,chr6,+,1
TBC1D22A,protein_coding,chr22,+,11
SYNE2,protein_coding,chr14,+,29
PLEKHH1,protein_coding,chr14,+,16
ATP9A,protein_coding,chr20,-,3
SPO11,protein_coding,chr20,+,5
CBLN4,protein_coding,chr20,-,1
CHRDL2,protein_coding,chr11,-,10
FAM168A,protein_coding,chr11,-,5
RELT,protein_coding,chr11,+,7
GALC,protein_coding,chr14,-,16
NOP58,protein_coding,chr2,+,10
SZRD1,protein_coding,chr1,+,10
KCNH2,protein_coding,chr7,-,6
CUL1,protein_coding,chr7,+,4
FAM114A2,protein_coding,chr5,-,17
CYFIP2,protein_coding,chr5,+,24
TAB2,protein_coding,chr6,+,9
GINM1,protein_coding,chr6,+,2
EIF2AK2,protein_coding,chr2,-,7
USP36,protein_coding,chr17,-,24
KMT2C,protein_coding,chr7,-,13
MCOLN3,protein_coding,chr1,-,6
CCDC85A,protein_coding,chr2,+,1
PUM2,protein_coding,chr2,-,11
MRPL43,protein_coding,chr10,-,14
ITIH4,protein_coding,chr3,-,15
ITIH1,protein_coding,chr3,+,12
HPF1,protein_coding,chr4,-,3
ZFR,protein_coding,chr5,-,7
ZNF280C,protein_coding,chrX,-,2
NPFFR2,protein_coding,chr4,+,5
PHF21B,protein_coding,chr22,-,12
TRAF1,protein_coding,chr9,-,3
RC3H2,protein_coding,chr9,-,10
IL17RB,protein_coding,chr3,+,3
TRAF3IP2,protein_coding,chr6,-,12
GYG2,protein_coding,chrX,+,8
DCBLD2,protein_coding,chr3,-,10
SERPINB3,protein_coding,chr18,-,2
SOAT1,protein_coding,chr1,+,4
PKP2,protein_coding,chr12,-,7
MSH4,protein_coding,chr1,+,1
F7,protein_coding,chr13,+,6
GDI2,protein_coding,chr10,-,9
PRDM1,protein_coding,chr6,+,7
ATG5,protein_coding,chr6,-,9
TMCC3,protein_coding,chr12,-,5
PITHD1,protein_coding,chr1,+,3
MTA3,protein_coding,chr2,+,19
USP13,protein_coding,chr3,+,5
ATP11B,protein_coding,chr3,+,10
LAMC2,protein_coding,chr1,+,4
CDK14,protein_coding,chr7,+,15
SEC61A1,protein_coding,chr3,+,7
PPP1R12A,protein_coding,chr12,-,22
RASGRF1,protein_coding,chr15,-,9
CAMK2B,protein_coding,chr7,-,26
CROCC,protein_coding,chr1,+,13
POLR3E,protein_coding,chr16,+,19
ATP2B4,protein_coding,chr1,+,7
ZC3H11A,protein_coding,chr1,+,13
RIOK2,protein_coding,chr5,-,7
YIPF1,protein_coding,chr1,-,8
NDC1,protein_coding,chr1,-,2
DGKG,protein_coding,chr3,-,11
FLYWCH1,protein_coding,chr16,+,14
UNKL,protein_coding,chr16,-,17
TBXAS1,protein_coding,chr7,+,22
PARP12,protein_coding,chr7,-,12
ALDH18A1,protein_coding,chr10,-,5
TARBP1,protein_coding,chr1,-,9
GATB,protein_coding,chr4,-,14
MXD1,protein_coding,chr2,+,6
CDK17,protein_coding,chr12,-,12
DNAJC25,protein_coding,chr9,+,3
SLC2A3,protein_coding,chr12,-,11
PSD,protein_coding,chr10,-,9
CTDP1,protein_coding,chr18,+,8
YBX3,protein_coding,chr12,-,18
STYK1,protein_coding,chr12,-,6
WNK1,protein_coding,chr12,+,21
CCAR1,protein_coding,chr10,+,18
OGFR,protein_coding,chr20,+,4
GNA15,protein_coding,chr19,+,3
CREB3L3,protein_coding,chr19,+,5
PIGV,protein_coding,chr1,+,6
PTPRU,protein_coding,chr1,+,11
SNRNP40,protein_coding,chr1,-,7
RIMBP2,protein_coding,chr12,-,5
COL11A1,protein_coding,chr1,-,11
QSER1,protein_coding,chr11,+,6
MPC1,protein_coding,chr6,-,7
ACAA1,protein_coding,chr3,-,20
BCAT1,protein_coding,chr12,-,10
HDAC7,protein_coding,chr12,-,30
LZTS1,protein_coding,chr8,-,4
PRDM6,protein_coding,chr5,+,4
WNT8A,protein_coding,chr5,+,4
SPAG4,protein_coding,chr20,+,7
NCKAP1,protein_coding,chr2,-,8
MRPS35,protein_coding,chr12,+,5
GUCY1B3,protein_coding,chr4,+,7
SFSWAP,protein_coding,chr12,+,11
TNK2,protein_coding,chr3,-,22
MON2,protein_coding,chr12,+,13
CDH3,protein_coding,chr16,+,10
ARSF,protein_coding,chrX,+,2
GPBP1,protein_coding,chr5,+,9
DGAT2,protein_coding,chr11,+,9
ZNF112,protein_coding,chr19,-,6
CS,protein_coding,chr12,-,33
LTK,protein_coding,chr15,-,6
MRPS24,protein_coding,chr7,-,5
ELMO2,protein_coding,chr20,-,18
WAPL,protein_coding,chr10,-,7
VMP1,protein_coding,chr17,+,18
APPBP2,protein_coding,chr17,-,6
POLD1,protein_coding,chr19,+,14
SEZ6,protein_coding,chr17,-,10
EIF4B,protein_coding,chr12,+,14
SLC6A16,protein_coding,chr19,-,7
GLTSCR1,protein_coding,chr19,+,4
SPHK2,protein_coding,chr19,+,13
RPL18,protein_coding,chr19,-,16
CA11,protein_coding,chr19,-,4
ISOC2,protein_coding,chr19,-,8
U2AF2,protein_coding,chr19,+,8
EPN1,protein_coding,chr19,+,7
MED29,protein_coding,chr19,+,7
AHRR,protein_coding,chr5,+,11
GSC2,protein_coding,chr22,-,1
ZNF275,protein_coding,chrX,+,3
MTMR1,protein_coding,chrX,+,14
GPC1,protein_coding,chr2,+,9
ADCK1,protein_coding,chr14,+,8
HAGH,protein_coding,chr16,-,12
RNF4,protein_coding,chr4,+,22
CASP8,protein_coding,chr2,+,20
LIMCH1,protein_coding,chr4,+,22
ASUN,protein_coding,chr12,-,9
TM7SF3,protein_coding,chr12,-,19
DLX3,protein_coding,chr17,-,2
SPA17,protein_coding,chr11,+,4
TSPAN32,protein_coding,chr11,+,17
WISP2,protein_coding,chr20,+,6
DMRT3,protein_coding,chr9,+,2
ST3GAL6,protein_coding,chr3,+,28
ATP2C2,protein_coding,chr16,+,15
NGFR,protein_coding,chr17,+,3
CDON,protein_coding,chr11,-,9
TAF2,protein_coding,chr8,-,9
HIPK2,protein_coding,chr7,-,3
TNPO3,protein_coding,chr7,-,5
BORCS8-MEF2B,protein_coding,chr19,-,8
RFXANK,protein_coding,chr19,+,15
TMEM161A,protein_coding,chr19,-,15
LPAR2,protein_coding,chr19,-,9
CTSA,protein_coding,chr20,+,19
SUGP2,protein_coding,chr19,-,15
SLC12A2,protein_coding,chr5,+,8
SNX24,protein_coding,chr5,+,12
EYA2,protein_coding,chr20,+,10
CNN2,protein_coding,chr19,+,12
ABCA7,protein_coding,chr19,+,19
SNCAIP,protein_coding,chr5,+,22
DDX20,protein_coding,chr1,+,5
BTBD1,protein_coding,chr15,-,5
FAR2,protein_coding,chr12,+,10
BCAS1,protein_coding,chr20,-,4
POU1F1,protein_coding,chr3,-,4
CHI3L2,protein_coding,chr1,+,17
SBNO2,protein_coding,chr19,-,10
PMS1,protein_coding,chr2,+,21
HMG20B,protein_coding,chr19,+,16
CALCRL,protein_coding,chr2,-,9
TAF11,protein_coding,chr6,-,2
ANKS1A,protein_coding,chr6,+,2
AP3D1,protein_coding,chr19,-,12
ZNF76,protein_coding,chr6,+,11
SLC9A3R2,protein_coding,chr16,+,9
NTHL1,protein_coding,chr16,-,10
UHRF1BP1,protein_coding,chr6,+,2
GNAI3,protein_coding,chr1,+,2
IPO5,protein_coding,chr13,+,29
OAT,protein_coding,chr10,-,8
WDR3,protein_coding,chr1,+,4
PKN2,protein_coding,chr1,+,6
WDR18,protein_coding,chr19,+,11
TRAM2,protein_coding,chr6,-,1
NTN1,protein_coding,chr17,+,2
GLP2R,protein_coding,chr17,+,4
MCM10,protein_coding,chr10,+,7
DGKA,protein_coding,chr12,+,49
ERBB3,protein_coding,chr12,+,21
ROPN1,protein_coding,chr3,-,11
ANKRD44,protein_coding,chr2,-,13
KARS,protein_coding,chr16,-,12
ADAT1,protein_coding,chr16,-,10
PDIA5,protein_coding,chr3,+,9
TBC1D22B,protein_coding,chr6,+,1
NDUFB4,protein_coding,chr3,+,6
SPEN,protein_coding,chr1,+,5
MYLK,protein_coding,chr3,-,21
ZC3H15,protein_coding,chr2,+,9
MAP2K4,protein_coding,chr17,+,15
TMEM206,protein_coding,chr1,-,5
SNAP91,protein_coding,chr6,-,22
SLK,protein_coding,chr10,+,3
CYB5R4,protein_coding,chr6,+,3
COL17A1,protein_coding,chr10,-,8
GSTO2,protein_coding,chr10,+,7
SEC61A2,protein_coding,chr10,+,14
PRKCQ,protein_coding,chr10,-,4
TLE2,protein_coding,chr19,-,22
ASB1,protein_coding,chr2,+,9
FAM107B,protein_coding,chr10,-,29
ME1,protein_coding,chr6,-,1
TBC1D1,protein_coding,chr4,+,19
CDK13,protein_coding,chr7,+,7
MTHFD2,protein_coding,chr2,+,8
SLC9A7,protein_coding,chrX,-,5
FOXJ2,protein_coding,chr12,+,3
YBX1,protein_coding,chr1,+,4
PDE4A,protein_coding,chr19,+,9
PPP2R5A,protein_coding,chr1,+,5
CTNNA2,protein_coding,chr2,+,19
ELAVL1,protein_coding,chr19,-,5
TIE1,protein_coding,chr1,+,10
DIP2B,protein_coding,chr12,+,5
SMARCD1,protein_coding,chr12,+,12
KDM4A,protein_coding,chr1,+,5
NFYC,protein_coding,chr1,+,24
ZMYND12,protein_coding,chr1,-,4
SLC9A3,protein_coding,chr5,-,3
NGEF,protein_coding,chr2,-,9
ASPM,protein_coding,chr1,-,4
CD84,protein_coding,chr1,-,8
ELOVL1,protein_coding,chr1,-,17
SPI1,protein_coding,chr11,-,4
ZNRD1,protein_coding,chr6,+,6
MPPED2,protein_coding,chr11,-,8
CLDN18,protein_coding,chr3,+,3
ZBTB11,protein_coding,chr3,-,3
ATXN3,protein_coding,chr14,-,53
GOLGA5,protein_coding,chr14,+,3
FGFR2,protein_coding,chr10,-,26
LRRC40,protein_coding,chr1,-,1
ISOC1,protein_coding,chr5,+,2
EML1,protein_coding,chr14,+,20
TRMT11,protein_coding,chr6,+,11
THUMPD1,protein_coding,chr16,-,6
MSANTD3,protein_coding,chr9,+,7
KIF26A,protein_coding,chr14,+,2
ATG2B,protein_coding,chr14,-,7
ARFGEF1,protein_coding,chr8,-,8
ACSM2B,protein_coding,chr16,-,19
ZFAT,protein_coding,chr8,-,17
MTFR1,protein_coding,chr8,+,15
STAG3,protein_coding,chr7,+,19
FECH,protein_coding,chr18,-,10
MYO9A,protein_coding,chr15,-,21
DDX3Y,protein_coding,chrY,+,9
PFKP,protein_coding,chr10,+,12
IDI1,protein_coding,chr10,-,5
SP100,protein_coding,chr2,+,19
KLF6,protein_coding,chr10,-,7
PLPP1,protein_coding,chr5,-,6
NEO1,protein_coding,chr15,+,11
TRAM1,protein_coding,chr8,-,5
PHKA1,protein_coding,chrX,-,5
TNFRSF1A,protein_coding,chr12,-,16
CACNB1,protein_coding,chr17,-,12
EVI5,protein_coding,chr1,-,8
STOML1,protein_coding,chr15,-,13
PKM,protein_coding,chr15,-,25
DHX29,protein_coding,chr5,-,5
DNTTIP2,protein_coding,chr1,-,7
METTL22,protein_coding,chr16,+,18
TP53BP1,protein_coding,chr15,-,17
TRO,protein_coding,chrX,+,25
RRP15,protein_coding,chr1,+,2
RHOA,protein_coding,chr3,-,6
DHX8,protein_coding,chr17,+,7
PRKCZ,protein_coding,chr1,+,26
ZFY,protein_coding,chrY,+,7
IARS2,protein_coding,chr1,+,4
SYT1,protein_coding,chr12,+,12
NAV3,protein_coding,chr12,+,15
IDH3G,protein_coding,chrX,-,12
ROGDI,protein_coding,chr16,-,16
PDZD4,protein_coding,chrX,-,9
ATP2B3,protein_coding,chrX,+,7
ROCK1,protein_coding,chr18,-,7
CBFB,protein_coding,chr16,+,9
PDK3,protein_coding,chrX,+,3
HYAL2,protein_coding,chr3,-,10
HDAC4,protein_coding,chr2,-,17
RASSF1,protein_coding,chr3,-,10
FGFR3,protein_coding,chr4,+,10
IFI35,protein_coding,chr17,+,8
HEATR6,protein_coding,chr17,-,12
COASY,protein_coding,chr17,+,14
PLEKHH3,protein_coding,chr17,-,9
MEF2A,protein_coding,chr15,+,13
OTUD5,protein_coding,chrX,-,8
TFE3,protein_coding,chrX,-,5
TBC1D25,protein_coding,chrX,+,5
ACSL4,protein_coding,chrX,-,12
INPP5A,protein_coding,chr10,+,7
GPKOW,protein_coding,chrX,-,1
GRIPAP1,protein_coding,chrX,-,15
FTSJ1,protein_coding,chrX,+,13
PRR11,protein_coding,chr17,+,9
REEP1,protein_coding,chr2,-,9
ATP11A,protein_coding,chr13,+,17
POLR1A,protein_coding,chr2,-,10
LAPTM4A,protein_coding,chr2,-,2
TTC7A,protein_coding,chr2,+,12
IP6K2,protein_coding,chr3,-,28
STON1-GTF2A1L,protein_coding,chr2,+,6
SRBD1,protein_coding,chr2,-,5
KIF2A,protein_coding,chr5,+,10
RASGRP2,protein_coding,chr11,-,23
PSME4,protein_coding,chr2,-,9
IFT80,protein_coding,chr3,-,27
SIRT2,protein_coding,chr19,-,19
ERLEC1,protein_coding,chr2,+,4
PPP2R5B,protein_coding,chr11,+,5
PYGM,protein_coding,chr11,-,5
PAGE1,protein_coding,chrX,-,1
PITX1,protein_coding,chr5,-,6
TRPC7,protein_coding,chr5,-,7
MAST4,protein_coding,chr5,+,21
ADGRF5,protein_coding,chr6,-,4
SDK2,protein_coding,chr17,-,5
ADAM7,protein_coding,chr8,+,4
NUP133,protein_coding,chr1,-,4
NUCKS1,protein_coding,chr1,-,2
VPS35,protein_coding,chr16,-,11
DNAJA2,protein_coding,chr16,-,4
BCL3,protein_coding,chr19,+,10
KCNAB2,protein_coding,chr1,+,19
ABCC9,protein_coding,chr12,-,7
GAL,protein_coding,chr11,+,2
CLEC2D,protein_coding,chr12,+,16
FUNDC1,protein_coding,chrX,-,2
MAOB,protein_coding,chrX,-,3
RORA,protein_coding,chr15,-,14
DRD4,protein_coding,chr11,+,2
TGFBR3,protein_coding,chr1,-,11
KIAA1107,protein_coding,chr1,+,1
PLA2G10,protein_coding,chr16,-,2
HES2,protein_coding,chr1,-,6
ATP1B3,protein_coding,chr3,+,10
NEDD4,protein_coding,chr15,-,12
PIGB,protein_coding,chr15,+,12
MAPK6,protein_coding,chr15,+,8
GNB5,protein_coding,chr15,-,12
RAB27A,protein_coding,chr15,-,12
CECR5,protein_coding,chr22,-,7
UFD1L,protein_coding,chr22,-,10
LRP6,protein_coding,chr12,-,7
GUCY2C,protein_coding,chr12,-,2
SCT,protein_coding,chr11,-,1
PHRF1,protein_coding,chr11,+,6
IKBKAP,protein_coding,chr9,-,4
NUCB2,protein_coding,chr11,+,20
PFN2,protein_coding,chr3,-,17
PTPN3,protein_coding,chr9,-,6
SPTB,protein_coding,chr14,-,9
DAPP1,protein_coding,chr4,+,4
FGF10,protein_coding,chr5,-,2
SLC44A1,protein_coding,chr9,+,7
TMEM260,protein_coding,chr14,+,16
SMG6,protein_coding,chr17,-,20
EXOC5,protein_coding,chr14,-,11
CLTCL1,protein_coding,chr22,-,12
FGF22,protein_coding,chr19,+,3
FSTL3,protein_coding,chr19,+,7
DGCR2,protein_coding,chr22,-,7
RNF126,protein_coding,chr19,-,7
MNT,protein_coding,chr17,-,9
ZXDC,protein_coding,chr3,-,4
JMJD6,protein_coding,chr17,-,8
POLB,protein_coding,chr8,+,17
ST6GALNAC1,protein_coding,chr17,-,11
WIPI1,protein_coding,chr17,-,11
FRMPD1,protein_coding,chr9,+,3
GBA2,protein_coding,chr9,-,8
NDST1,protein_coding,chr5,+,9
ASNS,protein_coding,chr7,-,17
AP3M2,protein_coding,chr8,+,17
CNGB1,protein_coding,chr16,-,9
ST6GALNAC2,protein_coding,chr17,-,9
CHAT,protein_coding,chr10,+,9
PABPC1,protein_coding,chr8,-,25
TESK2,protein_coding,chr1,-,4
CFAP20,protein_coding,chr16,-,7
CSNK2A2,protein_coding,chr16,-,6
PTPN21,protein_coding,chr14,-,9
EIF2B3,protein_coding,chr1,-,10
CAMK2A,protein_coding,chr5,-,7
TCOF1,protein_coding,chr5,+,15
CDC42,protein_coding,chr1,+,5
OSBPL3,protein_coding,chr7,-,14
EPHA8,protein_coding,chr1,+,2
SLC12A3,protein_coding,chr16,+,6
RAD18,protein_coding,chr3,-,10
ATP2B1,protein_coding,chr12,-,11
TRPM5,protein_coding,chr11,-,4
NCK2,protein_coding,chr2,+,6
MAP4K4,protein_coding,chr2,+,21
MGAT4A,protein_coding,chr2,-,9
RPL31,protein_coding,chr2,+,11
WDR1,protein_coding,chr4,-,18
SNX13,protein_coding,chr7,-,13
MS4A12,protein_coding,chr11,+,5
ARHGAP10,protein_coding,chr4,+,7
RPS6KA2,protein_coding,chr6,-,13
ING3,protein_coding,chr7,+,6
VASH1,protein_coding,chr14,+,5
LMCD1,protein_coding,chr3,+,7
WBSCR22,protein_coding,chr7,+,18
SEL1L,protein_coding,chr14,-,6
TRIP13,protein_coding,chr5,+,7
ATP6AP1,protein_coding,chrX,+,10
TCF3,protein_coding,chr19,-,20
TRIB2,protein_coding,chr2,+,4
DAZAP1,protein_coding,chr19,+,11
MBD3,protein_coding,chr19,-,11
PRLH,protein_coding,chr2,+,1
HLTF,protein_coding,chr3,-,9
FAM50A,protein_coding,chrX,+,7
FAM3A,protein_coding,chrX,-,22
CPSF1,protein_coding,chr8,-,17
MYO3B,protein_coding,chr2,+,9
CYBRD1,protein_coding,chr2,+,7
CDH19,protein_coding,chr18,-,5
PDCD2,protein_coding,chr6,-,15
SLC6A15,protein_coding,chr12,-,11
RDH11,protein_coding,chr14,-,11
PRKACA,protein_coding,chr19,-,10
ADGRL1,protein_coding,chr19,-,8
SPP2,protein_coding,chr2,+,4
ACTN1,protein_coding,chr14,-,21
ZFYVE26,protein_coding,chr14,-,11
RPS6KA6,protein_coding,chrX,-,4
EPN2,protein_coding,chr17,+,27
PTPN18,protein_coding,chr2,+,16
LIMS2,protein_coding,chr2,-,18
ASIC4,protein_coding,chr2,+,5
SPEG,protein_coding,chr2,+,25
LNX1,protein_coding,chr4,-,9
ALDH3A2,protein_coding,chr17,+,26
TFRC,protein_coding,chr3,-,15
SREBF1,protein_coding,chr17,-,23
TRPC5,protein_coding,chrX,-,1
AFF4,protein_coding,chr5,-,9
UBE2D1,protein_coding,chr10,+,4
MPP5,protein_coding,chr14,+,7
RHOBTB1,protein_coding,chr10,-,6
SMC1A,protein_coding,chrX,-,6
HSD17B10,protein_coding,chrX,-,5
MARK2,protein_coding,chr11,+,15
HMMR,protein_coding,chr5,+,8
CHFR,protein_coding,chr12,-,24
TRHDE,protein_coding,chr12,+,7
P4HA2,protein_coding,chr5,-,21
FCGR2B,protein_coding,chr1,+,5
NFATC3,protein_coding,chr16,+,22
TRNT1,protein_coding,chr3,+,11
ACADVL,protein_coding,chr17,+,39
STK10,protein_coding,chr5,-,16
FBXW11,protein_coding,chr5,-,12
ACAP1,protein_coding,chr17,+,12
CRMP1,protein_coding,chr4,-,6
EVC,protein_coding,chr4,+,5
DERL2,protein_coding,chr17,-,13
SIDT1,protein_coding,chr3,+,12
NDE1,protein_coding,chr16,+,13
MRVI1,protein_coding,chr11,-,17
TMEM38A,protein_coding,chr19,+,3
AP1M1,protein_coding,chr19,+,15
PVR,protein_coding,chr19,+,6
XRCC1,protein_coding,chr19,-,9
SCARB1,protein_coding,chr12,-,11
CYP2W1,protein_coding,chr7,+,5
MCM2,protein_coding,chr3,+,9
MOV10L1,protein_coding,chr22,+,10
PANX2,protein_coding,chr22,+,3
SELO,protein_coding,chr22,+,3
TP63,protein_coding,chr3,+,14
ALPK1,protein_coding,chr4,+,18
LLGL2,protein_coding,chr17,+,22
PDE8A,protein_coding,chr15,+,16
CLCN4,protein_coding,chrX,+,4
NLE1,protein_coding,chr17,-,7
SDHA,protein_coding,chr5,+,20
SMARCE1,protein_coding,chr17,-,19
FNDC8,protein_coding,chr17,+,1
GSDMB,protein_coding,chr17,-,15
KDM5A,protein_coding,chr12,-,11
ADAM11,protein_coding,chr17,+,5
PPP2R3A,protein_coding,chr3,+,5
FERMT2,protein_coding,chr14,-,15
ABCB11,protein_coding,chr2,-,3
DHRS9,protein_coding,chr2,+,8
CD5L,protein_coding,chr1,-,2
PTGS2,protein_coding,chr1,-,5
IGF2BP2,protein_coding,chr3,-,11
MAP3K13,protein_coding,chr3,+,15
ST6GAL1,protein_coding,chr3,+,22
TBX21,protein_coding,chr17,+,2
FRY,protein_coding,chr13,+,8
PICALM,protein_coding,chr11,-,24
NSF,protein_coding,chr17,+,8
GLI2,protein_coding,chr2,+,13
CLASP1,protein_coding,chr2,-,15
MRPS34,protein_coding,chr16,-,3
NOTCH3,protein_coding,chr19,-,6
CLNS1A,protein_coding,chr11,-,12
PPP2R2C,protein_coding,chr4,-,9
TEAD2,protein_coding,chr19,-,10
EED,protein_coding,chr11,+,12
CDHR2,protein_coding,chr5,+,7
SNCB,protein_coding,chr5,-,6
TSG101,protein_coding,chr11,-,12
NCBP3,protein_coding,chr17,-,7
ATP2A3,protein_coding,chr17,-,15
CA12,protein_coding,chr15,-,6
MGLL,protein_coding,chr3,-,14
NTN4,protein_coding,chr12,-,7
BCS1L,protein_coding,chr2,+,20
NUAK1,protein_coding,chr12,-,4
DPP8,protein_coding,chr15,-,16
SLC24A1,protein_coding,chr15,+,12
ZNF532,protein_coding,chr18,+,26
SCARF1,protein_coding,chr17,-,9
LMAN1,protein_coding,chr18,-,5
HACD3,protein_coding,chr15,+,12
IPCEF1,protein_coding,chr6,-,13
ZZEF1,protein_coding,chr17,-,11
NOX3,protein_coding,chr6,-,1
ENO1,protein_coding,chr1,-,6
SLC12A1,protein_coding,chr15,+,11
MYDGF,protein_coding,chr19,-,4
ANO8,protein_coding,chr19,-,4
TUBE1,protein_coding,chr6,-,11
ARHGEF10L,protein_coding,chr1,+,9
TXK,protein_coding,chr4,-,6
WSCD2,protein_coding,chr12,+,13
KCNQ2,protein_coding,chr20,-,47
TACR2,protein_coding,chr10,-,3
ACTR6,protein_coding,chr12,+,13
TIPIN,protein_coding,chr15,-,6
SRI,protein_coding,chr7,-,10
EIF4G3,protein_coding,chr1,-,14
NUP37,protein_coding,chr12,-,9
SEMA3A,protein_coding,chr7,-,7
GTSE1,protein_coding,chr22,+,4
SEMA3C,protein_coding,chr7,-,9
TTC38,protein_coding,chr22,+,7
ACAT1,protein_coding,chr11,+,12
GRAMD4,protein_coding,chr22,+,7
CELSR1,protein_coding,chr22,-,5
WNT8B,protein_coding,chr10,+,1
ZNF638,protein_coding,chr2,+,27
SLC25A40,protein_coding,chr7,-,8
TIMM21,protein_coding,chr18,+,6
ADD2,protein_coding,chr2,-,14
FGF4,protein_coding,chr11,-,2
RASAL2,protein_coding,chr1,+,5
VPS9D1,protein_coding,chr16,-,7
ZNF37A,protein_coding,chr10,+,6
MARK3,protein_coding,chr14,+,26
SLC25A3,protein_coding,chr12,+,17
FNDC3B,protein_coding,chr3,+,12
FOSL2,protein_coding,chr2,+,4
CACNG5,protein_coding,chr17,+,2
CACNG4,protein_coding,chr17,+,1
FRYL,protein_coding,chr4,-,19
TMEM131,protein_coding,chr2,-,9
FSCN1,protein_coding,chr7,+,5
ACTB,protein_coding,chr7,-,13
MOCOS,protein_coding,chr18,+,2
PLD1,protein_coding,chr3,-,17
ATP12A,protein_coding,chr13,+,2
WDR62,protein_coding,chr19,+,7
DLG1,protein_coding,chr3,-,28
RAB7A,protein_coding,chr3,+,8
BCAP29,protein_coding,chr7,+,17
SEC31B,protein_coding,chr10,-,13
SART3,protein_coding,chr12,-,16
ARHGAP15,protein_coding,chr2,+,14
TUBA3D,protein_coding,chr2,+,2
PAX2,protein_coding,chr10,+,9
EXOSC7,protein_coding,chr3,+,11
KIFAP3,protein_coding,chr1,-,6
MKRN2,protein_coding,chr3,+,3
MCM6,protein_coding,chr2,-,3
REXO2,protein_coding,chr11,+,20
RBM7,protein_coding,chr11,+,9
RBMS2,protein_coding,chr12,+,8
BAZ2A,protein_coding,chr12,-,17
PTPN23,protein_coding,chr3,+,6
MLH1,protein_coding,chr3,+,23
UNG,protein_coding,chr12,+,5
FMO4,protein_coding,chr1,+,5
KLHL20,protein_coding,chr1,+,5
RGS11,protein_coding,chr16,-,8
SLC46A1,protein_coding,chr17,-,9
PLXNA2,protein_coding,chr1,-,6
SPAG5,protein_coding,chr17,-,16
ANKRD13A,protein_coding,chr12,+,10
TPD52,protein_coding,chr8,-,29
ACACB,protein_coding,chr12,+,15
TRAF4,protein_coding,chr17,+,17
PAG1,protein_coding,chr8,-,4
GPATCH1,protein_coding,chr19,+,4
ICAM3,protein_coding,chr19,-,10
NT5C2,protein_coding,chr10,-,14
MCAM,protein_coding,chr11,-,18
GPC4,protein_coding,chrX,-,1
MBNL3,protein_coding,chrX,-,12
CAMSAP3,protein_coding,chr19,+,4
RAP1GAP,protein_coding,chr1,-,13
XAB2,protein_coding,chr19,-,4
ARHGEF1,protein_coding,chr19,+,23
STXBP2,protein_coding,chr19,+,22
MAP2K7,protein_coding,chr19,+,8
NMRK2,protein_coding,chr19,+,5
DGKD,protein_coding,chr2,+,14
CTTNBP2,protein_coding,chr7,-,12
ACTL6B,protein_coding,chr7,-,6
RARB,protein_coding,chr3,+,8
TOP2B,protein_coding,chr3,-,8
TM9SF3,protein_coding,chr10,-,6
NFKB2,protein_coding,chr10,+,9
UBE2T,protein_coding,chr1,-,3
PPP1R12B,protein_coding,chr1,+,18
DNAJC10,protein_coding,chr2,+,10
GTF3C1,protein_coding,chr16,-,13
IL4R,protein_coding,chr16,+,19
USP33,protein_coding,chr1,-,18
PAK3,protein_coding,chrX,+,13
CAPN6,protein_coding,chrX,-,1
DCX,protein_coding,chrX,-,12
SNRPA,protein_coding,chr19,+,11
SPAG6,protein_coding,chr10,+,9
EXOSC5,protein_coding,chr19,-,5
DYNC1I2,protein_coding,chr2,+,25
APBB1IP,protein_coding,chr10,+,3
LRCH4,protein_coding,chr7,-,11
FAM76B,protein_coding,chr11,-,13
SIRT6,protein_coding,chr19,-,15
TYR,protein_coding,chr11,+,3
POLD3,protein_coding,chr11,+,10
ACTN2,protein_coding,chr1,+,7
CAPZB,protein_coding,chr1,-,9
GPR137B,protein_coding,chr1,+,5
NAALAD2,protein_coding,chr11,+,10
JADE1,protein_coding,chr4,+,14
SLC25A43,protein_coding,chrX,+,4
UBE2A,protein_coding,chrX,+,11
FGFR1,protein_coding,chr8,-,41
FKBP6,protein_coding,chr7,+,7
SMC1B,protein_coding,chr22,-,2
FBLN1,protein_coding,chr22,+,18
ITGA8,protein_coding,chr10,-,3
CST7,protein_coding,chr20,+,1
